ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
752682389,922773268,1081477944,578263361,221467371,1566104646,1347813537,190546281,20537109737
790805581,922694789,1080953788,579747795,219235039,1565976682,1347924176,190627519,20769561993
754151744,922577858,1081454953,579959143,221271194,1565919766,1347050542,190630771,20521106620
791456730,922794639,1081270250,579253511,220327643,1567098716,1347994818,190540501,20770079989
753307125,921967707,1080868633,579754041,220180762,1566932906,1347494561,190340441,20512641060
790980797,922879068,1081066175,578621322,218610962,1566639186,1347949788,190650873,20773851153
753466031,922903227,1080500909,579803674,219086302,1566598941,1347896409,190440411,20513574623
791611294,922811121,1081963492,578882469,225036232,1566184758,1346580034,190451504,20773437899
753296261,922526603,1080480110,578844655,218021529,1566315846,1346566430,190902266,20511684199
790859635,922668309,1081390255,578484916,222644997,1566107901,1348227886,190487266,20772359428
752870248,922643968,1084769087,579411741,221290055,1566140221,1347885687,190567964,20511207734
790849446,922269377,1082390180,579593577,223856293,1567256125,1347055320,190560573,20763888719
754210034,922396872,1081444953,579498278,219080535,1566330119,1347668166,190625092,20521530990
790740781,922753309,1081206803,579697938,223122034,1566618361,1347342975,190480114,20777510674
754861753,922818276,1083564145,579893031,224067216,1566965762,1347968821,190920085,20510546265
790785057,922243625,1081468336,579501701,223105468,1566639326,1348335570,190505099,20789620375
752732737,922125917,1081790003,578292938,222075669,1566699480,1347565840,190750199,20518158666
791732053,922096456,1081194744,579476919,220714132,1565926872,1347300308,190910538,20774305588
753153457,922915526,1081347609,579075872,224000609,1566488278,1349538354,190474496,20524496740
790953807,923191895,1081393141,579497246,224023077,1566760338,1347279847,190915767,20780360691
752670410,923051665,1082134191,578954574,223533163,1567462451,1348316261,190905002,20513150142
790595976,922858886,1081462584,579293693,223343381,1567186868,1348031299,190520306,20775810864
753389815,922997407,1080589753,580202821,221509226,1566712654,1348421271,190284310,20517872619
790928167,922730556,1081912025,579108781,223161754,1566378496,1347506730,190663614,20774811523
752497140,922165539,1080661744,577310665,223682504,1566208378,1347713377,190479484,20519132076
790345155,922925011,1080797943,578260606,224090285,1566635052,1348393674,190466535,20775176610
752575947,923158725,1081534443,580017610,218891933,1566057745,1347335719,190508871,20513364238
790460872,922626839,1080320189,578552126,224054063,1566445489,1348079897,190373416,20769470104
753757757,922844751,1080915943,580501928,222740490,1566453080,1346591761,190535113,20516472831
790897543,922215587,1082352361,579679168,223792565,1567282010,1347609110,190458708,20797432176
753108929,922816655,1081805049,577998956,226749616,1566060285,1348183367,190284386,20520827218
790660833,922900862,1080748248,579709959,225714795,1566725083,1348410497,190583350,20773927285
752668148,922639558,1081020909,580357640,225480269,1568576012,1347492070,190438182,20510818220
790637785,922809814,1080396106,580076476,222769141,1567909753,1347555586,190473860,20774572779
753678205,922225869,1083092850,579167207,225194014,1567170378,1347902935,190699574,20515034862
790972451,922773126,1081729756,579335621,221900369,1566908447,1347006436,190566905,20776646391
752979283,922682712,1080504126,580029966,222632513,1566515255,1346771110,190528156,20516607468
790749671,922161778,1081051398,579340229,223128817,1566842379,1347604939,190949913,20770230278
752305432,922388696,1082060948,578692064,222318560,1567027041,1348213803,190478410,20516334876
790674866,922487489,1081433889,579886916,221783858,1566981630,1348020569,190901219,20771507890
753112387,923144017,1080730439,578590764,220321016,1566001921,1347708767,190679105,20519738562
790835504,923516222,1080573957,580300776,223492221,1567159795,1349219712,190556395,20771930359
753282164,922102966,1080793724,579449593,225080035,1566224218,1348664743,190514403,20517901943
791191328,922107792,1080915532,579776492,222467735,1567019044,1346677901,190915824,20789114122
752093954,923127071,1081131304,580533049,226700195,1566282394,1346957707,190387391,20514750886
791807418,923237903,1082561377,576670810,220949601,1565922008,1346536759,190592519,20773739821
752639145,922510364,1083220723,580115011,223932863,1565855210,1347471195,191003422,20515591523
791370245,923010200,1081432909,579846076,221558273,1566212036,1347105601,190497732,20776446236
752488972,923007335,1081077385,579566478,220304505,1566297077,1346541546,190582556,20515351514
791606658,923600180,1080453009,579978663,222580616,1566606596,1347221973,190599398,20777299346
752470597,922157823,1081085560,577951313,222761228,1566630833,1348641976,190528958,20514403589
790071609,922697852,1081922597,579836952,220146061,1568705410,1347150132,190555193,20778795458
752312253,922826209,1080839672,580029915,221435757,1566311171,1347322383,190485119,20516723666
790450593,922946470,1082680012,580129794,220828023,1567472719,1346525066,190299128,20771582441
752227467,922883416,1081704794,579038541,220612312,1567245810,1347070863,190614580,20521528163
790250678,922044434,1081235798,579163122,222849829,1566904900,1346568228,190478705,20778588030
751897819,922146137,1081011620,579021535,223104132,1566750391,1347495279,190633350,20509797734
790965868,922902751,1082301095,578687199,223500467,1566265606,1349084423,190609054,20782163704
753519971,922643191,1079967206,580026899,220064649,1567153451,1348552887,190539613,20522095420
790591625,922653787,1081701852,580329282,225949850,1566086657,1347191550,190511915,20777824177
752450093,922835106,1081490434,579920027,223181609,1566442505,1347609765,190463140,20518880079
791040713,922904975,1081042162,577802565,222699112,1566994203,1348199179,190477608,20774847748
752716818,922428686,1081565417,579423244,221098881,1566605340,1347796953,190980822,20512845290
790917812,922624492,1081076537,579660860,220791062,1566584989,1347686588,190484286,20777520843
752785627,923247821,1081517478,579367863,219820888,1567117774,1347948719,190484519,20521698847
790862069,922827616,1081774769,579619851,220749525,1566290349,1347855745,190534875,20772617797
752654731,923092096,1081879577,579974276,219980628,1566149179,1348058953,190561325,20531182431
790833017,923243826,1081924018,577440328,222279998,1566284236,1347651388,190487033,20784083753
753226627,921809279,1081039745,577956832,226122997,1566258964,1347683042,190536791,20518075663
791282578,922155462,1081749707,579366012,223137987,1566307727,1347762440,190302316,20778754932
752696672,922682963,1082162506,579319012,223050468,1566043292,1347858347,190454009,20521825451
790150348,922678366,1082267417,579815377,220754677,1567889704,1348438575,190488157,20773118066
752022960,923067058,1081272831,580210979,224736159,1566183986,1347691900,190275169,20539994679
791505606,922513332,1081155553,579903052,224565255,1566748577,1347122275,190543398,20784777660
752503922,922610388,1081544265,579997619,222254374,1566676937,1347682099,190311413,20525287890
790344999,922506850,1080825700,578906910,222773282,1566510194,1348463513,190239168,20768718956
751954548,922414777,1081326463,580081144,224624302,1566424471,1347889126,190481798,20525704178
791321454,922595200,1081289885,578944050,221259047,1567025715,1347511044,190366759,20783790413
752933872,922648995,1081711353,578769262,219468543,1566480440,1346094292,190509675,20522657511
